label,log_text
1,"1 (8944643) EST:1 offset: [0.198, -0.103, -0.333]->[0.199, -0.101, -0.329] (full [0.228, -0.013,"
1,"0 (466977) EST:2 offset: [-0.005, 0.049, -0.019]->[-0.008, 0.050, -0.014] (full [-0.108, 0.099, 0"
1,Connection to ground station lost
3,Valid SENS_TEMP_ID required
1,"0 (396321) EST:1 offset: [0.033, 0.032, -0.266]->[0.037, 0.037, -0.267] (full [0.054, 0.066, -0.3"
3,Accel #0 fail:  TIMEOUT!
1,Opened full log file: /fs/microsd/log/sess100/log104.ulg
1,"0 (73233) EST:1 offset: [-0.179, -0.114, 0.028]->[-0.183, -0.101, 0.026] (full [-0.342, 0.363, -0"
2,Preflight Fail: Kill switch engaged
1,"Node ID 1, bitrate 1000000"
2,Approaching on geofence
2,[cal] Blow into front of pitot without touching
1,Armed by RC switch
2,offboard mission init failed (-1)
1,[cal] calibration started: 2 level
1,Start file log (type: full)
1,"successfully created rt/fmu/out/timesync_status data writer, topic id: 226"
2,Preflight Fail: Kill switch engaged
1,Start file log (type: full)
1,"successfully created rt/fmu/out/vehicle_status data writer, topic id: 229"
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS0 @ 115200B"
1,driver started
1,"mode: Config, data rate: 800000 B/s on /dev/ttyACM0 @ 57600B"
1,Start file log (type: full)
1,Disarmed by landing
1,logger started (mode=all)
1,[logger] /fs/microsd/log/2021-02-18/23_58_01.ulg
1,[cal] calibration started: 2 esc
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B"
2,Operation timeout
3,SET_MESSAGE_INTERVAL requested param3 not supported.
1,Armed by RC switch
1,try baud 57600
1,"closed logfile, bytes written: 1219981"
1,Armed by RC
1,[logger] /fs/microsd/log/2025-08-06/15_36_11.ulg
1,IO FW CRC match
1,Start file log (type: full)
1,Start file log (type: full)
2,Preflight Fail: heading estimate not stable
1,ACC 2 (2424842) offset committed: [-0.140 -0.102 -0.337]->[-INFO  [vehicle_imu] ACC 1 (2490386) offset committed: [0.057 0.080 0.012]->[0.086 0.015 0.012])
1,Disarmed by RC switch
1,"mode: Config, data rate: 800000 B/s on /dev/ttyACM0 @ 57600B"
3,Parameter PWM_AUX_FUNC3 not found.
2,Preflight Fail: Kill switch engaged
2,Using non-standard baudrate: 420000
1,Opened full log file: /fs/microsd/log/2025-08-02/12_02_15.ulg
1,[logger] /fs/microsd/log/2025-08-07/08_39_31.ulg
1,[cal] progress <68>
2,Mission rejected: unsupported landing approach entrance waypoint type. Only ORBIT_TO_ALT o
2,Preflight Fail: Yaw estimate error
1,RC scan: SBUS RC input locked
1,[cal] progress <26>
2,ist8310: no instance started (no device on bus?)
1,logger started (mode=all)
2,Preflight Fail: Strong magnetic interference
2,Preflight Fail: Kill switch engaged
1,[logger] /fs/microsd/log/2025-08-09/17_09_24.ulg
3,get scale failed
3,get: param 65535 invalid
1,logger started (mode=all)
1,Armed by RC
2,orb_advertise_multi: failed to set queue size
3,Parameter MAV_2_REMOTE_PRT not found.
1,importing from '/fs/mtd_params'
1,Opened full log file: /fs/microsd/log/2025-08-06/13_52_43.ulg
2,Preflight Fail: Attitude failure (roll)
1,Opened full log file: /fs/microsd/log/2025-08-07/03_29_50.ulg
3,get: param 65535 invalid
2,Disarming denied: not landed
1,[logger] /fs/microsd/log/sess113/log100.ulg
1,Kill engaged
3,Battery 1: failed to arm.
2,Preflight Fail: position estimate error
2,GPS reports spoofing indicated
1,Start file log (type: full)
2,"Accel 1 clipping, not safe to fly!"
3,killed: unsupported node type
2,Preflight Fail: Attitude failure (roll)
1,[cal] pending: back front left right up down
1,time sync converged
3,"COMMAND_LONG vehicle_command lost, generation 1214 -> 1247"
1,ist8310 instance is null...
1,Takeoff detected
1,Last time imu(ms): 1190384633
3,get: param 65535 invalid
1,u-blox protocol version: 32.01
2,ist8310: no instance started (no device on bus?)
3,Could not find parameter with name BAT4_V_EMPTY
1,"1 (8944387) EST:1 offset: [-0.050, 0.031, -0.072]->[-0.053, 0.040, -0.064] (full [-0.062, 0.065,"
2,Preflight: GPS Vertical Pos Drift too high
2,Preflight Fail: Open Drone ID system missing
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 57600B"
2,Preflight Fail: Yaw estimate error
1,Kill engaged
3,parameter export to /fs/mtd_params failed (-1) attempt 1
1,"successfully created rt/fmu/out/position_setpoint_triplet data writer, topic id: 180"
1,importing from '/fs/mtd_params'
3,mtd_partition failed. offset=32 nblocks=0
1,Opened full log file: /fs/microsd/log/2025-08-07/09_44_20.ulg
1,"Fence chunk received, vertices 0-2 of 5"
2,Preflight Fail: heading estimate not stable
1,[cal] progress <53>
1,exceptions : 128 free
3,get: param 65535 invalid
2,GPS reports spoofing indicated
1,[logger] /fs/microsd/log/2025-08-07/10_20_49.ulg
1,"successfully created rt/px4_1/fmu/out/vehicle_command_ack data writer, topic id: 246"
1,Start file log (type: full)
3,SET_MESSAGE_INTERVAL requested param3 not supported.
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS6 @ 57600B"
3,CentralizedServer init: -13
1,"roll = 0.0037, pitch = -0.0091, yaw = -0.2837"
1,"successfully created rt/fmu/out/battery_status data writer, topic id: 19"
1,successfully set system clock: Fri 2025-08-08 15:15:10
1,can_thread : 72 free
3,mtd failure: -5 bus 2 address 0 class 1
1,"DEBUG_RC, filter_rc_input_roll, lead_lag_1st"
1,logger started (mode=all)
1,u-blox firmware version: HPG 1.32
1,"mode: Config, data rate: 800000 B/s on /dev/ttyACM0 @ 57600B"
2,Preflight Fail: Yaw estimate error
3,param export failed (1)
2,Preflight Fail: position estimate error
1,[cal] Battery connected
1,[cal] calibration done: airspeed
1,Connection to ground station lost
1,lpwork_thread : 612 free
1,data manager file '/fs/microsd/dataman' size is 68528 bytes
2,Arming denied: Resolve system health failures first
1,Armed by RC
3,Append uavcan channel is not open
1,Landing detected
1,importing from '/fs/mtd_params'
1,"successfully created rt/fmu/out/vehicle_optical_flow data writer, topic id: 262"
1,"DEBUG_RC,  --fc: 2.500000 hz,ratio = 2.500000"
1,"successfully created rt/fmu/out/vehicle_odometry data writer, topic id: 261"
2,Preflight Fail: Kill switch engaged
3,Task start failed (-1)
2,Preflight Fail: heading estimate not stable
1,selected parameter backup file /fs/microsd/parameters_backup.bson
1,Start file log (type: full)
1,Loading path (version 3)
1,"closed logfile, bytes written: 4270900"
1,not init tilt
3,verify: 'CAL_ACC0_XSCALE' invalid BSON value 13185373196931300000000000000000000000000000000000000000000000
1,[logger] /fs/microsd/log/2025-08-08/10_53_24.ulg
1,importing from '/fs/mtd_params'
1,[logger] /fs/microsd/log/2021-02-18/23_57_51.ulg
1,Executing Mission
1,"successfully created rt/fmu/out/vehicle_status data writer, topic id: 266"
1,#旋翼构型、、、
2,Preflight Fail: Kill switch engaged
1,u-blox firmware version: SPG 4.04
1,Kill disengaged
1,Opened full log file: /fs/microsd/log/2025-08-08/04_00_54.ulg
1,"Node ID 1, bitrate 1000000"
2,Preflight Fail: Attitude failure (roll)
1,time sync converged
1,Returning to launch
2,invalid setpoints
3,param import failed
1,Takeoff detected
1,"1 (396809) EST:2 offset: [0.040, -0.283, -0.077]->[0.040, -0.283, -0.082] (full [0.039, -0.282, -"
1,[logger] /fs/microsd/log/2025-08-09/17_15_25.ulg
1,"0 (396825) EST:1 offset: [-0.022, 0.168, -0.058]->[-0.020, 0.154, -0.061] (full [0.062, -0.062, -"
1,"mode: Onboard, data rate: 80000 B/s on /dev/ttyS0 @ 921600B"
3,driver start failed
1,"closed logfile, bytes written: 1699093"
1,channel 1 got 14 bytes
1,Armed by RC (switch)
3,Dance start: not ready (8)
1,Manual control regained after 816.3s
1,"Fence chunk received, vertices 0-2 of 5"
2,#切断动力开关、
3,GetSet error
1,Starting mavlink shell
1,ist8310 初始化败!
3,mtd failure: -6 bus 2 address 0 class 1
3,PWM_SERVO_GET_COUNT
2,"Critical battery level, return now"
2,"no gyro selected, using sensor_gyro_fifo:0 4325386"
1,Takeoff detected
1,RC scan: SBUS RC input locked
2,Preflight: GPS Horizontal Pos Drift too high
1,"Node ID 1, bitrate 1000000"
1,Uncompress PATH done: 0 to 10 KB in 350 ms
1,"[GNSS sync]sec=1754712681,fix_type=0,pos_type=16,pos_std=1.789055"
1,"mode: Minimal, data rate: 1200 B/s on /dev/ttyS0 @ 115200B"
1,[cal] calibration done: accel
3,SET_MESSAGE_INTERVAL requested param3 not supported.
3,bmi088: no instance started (no device on bus?)
1,data manager file '/fs/microsd/dataman' size is 68528 bytes
2,Preflight Fail: Attitude failure (pitch)
1,u-blox protocol version: 34.10
1,Opened full log file: /fs/microsd/log/2025-08-08/08_42_14.ulg
1,Armed by RC
3,parameter export to /fs/mtd_params failed (-1) attempt 1
1,[logger] /fs/microsd/log/2025-08-08/06_25_57.ulg
2,Preflight Fail: No connection to the ground control station
3,verify: failed (-1)
3,parameter export to /fs/mtd_params failed (-1) attempt 3
3,get: param 65535 invalid
3,sdp3x: no instance started (no device on bus?)
1,Armed by RC
1,[logger] /fs/microsd/log/2025-08-09/17_08_16.ulg
2,Preflight: GPS Speed Accuracy too low
1,Start file log (type: full)
3,node spin error -8
3,verify: 'CAL_ACC0_XSCALE' invalid BSON value 13185373196931300000000000000000000000000000000000000000000000
1,Start file log (type: full)
1,拨杆：向后转换
2,Preflight Fail: height estimate not stable
2,Disarming denied: not landed
1,[logger] /fs/microsd/log/2025-07-19/03_21_06.ulg
3,get scale failed
3,param import failed
2,wq:rate_ctrl low on stack! (84 bytes left)
1,selected parameter backup file /fs/microsd/parameters_backup.bson
2,[timesync] RTT too high for timesync: 11 ms (sender: 191)
2,Failure: Kill switch engaged
3,status: 0 status: 0
3,verify: invalid parameter ''
1,Started 0x45 successfully
2,Preflight Fail: Strong magnetic interference
2,Battery 1 disconnected
2,Failsafe activated
1,Start file log (type: full)
3,Parameter PWM_AUX_FUNC2 not found.
1,"BSON document size 2456 bytes, decoded 2456 bytes (INT32:45, FLOAT:73)"
1,[cal] progress <57>
1,Opened full log file: /fs/microsd/log/2025-08-01/05_36_42.ulg
3,verify: invalid parameter ''
3,param export failed (-1)
2,Estimator reset denied - vehicle is armed
2,Preflight Fail: height estimate not stable
3,"Matching flight task was not able to run, Nav state: 1, Task: 1"
3,"Can't open log file /fs/microsd/log/sess100/log100.ulg, errno: 2"
1,Motor F7010 VER: 1.0.215 CRC: EA8DB38F
1,Start file log (type: full)
1,"0 (396321) EST:1 offset: [-0.209, -0.101, -0.010]->[-0.195, -0.090, -0.010] (full [-0.065, 0.023,"
1,Mixer: /etc/mixers/pass.aux.mix on /dev/pwm_output1
1,"successfully created rt/fmu/out/position_setpoint_triplet data writer, topic id: 180"
1,Opened full log file: /fs/microsd/log/2025-04-25/03_20_41.ulg
3,"vehicle_command_ack lost, generation 3532 -> 3550"
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Kill switch engaged
3,"node name overflow, type:0x01, name:CAL_AC"
1,Opened full log file: /fs/microsd/log/2025-08-09/17_13_40.ulg
1,selected parameter default file /fs/mtd_params
1,"Failed to init INA226 on bus 2, but will try again periodically."
1,Opened full log file: /fs/microsd/log/2025-08-06/06_00_17.ulg
1,[logger] /fs/microsd/log/2025-08-07/09_35_27.ulg
3,verify: failed (-1)
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS6 @ 921600B"
1,No airspeed sensor detected. Switch to non-airspeed mode.
1,Powercan main run
3,get: param 65535 invalid
1,Start file log (type: full)
1,"instance: 0, max rate: 100, default: 50, alt: 50"
1,Registered Topic for 0x6 0x1
1,IO FW CRC match
1,logger started (mode=all)
1,send arm battery command
3,unknown param ID: 1077
2,[timesync] RTT too high for timesync: 13 ms (sender: 240)
1,"DanceFence::_updateFence() done, 1 polys, 5 vertices"
2,Switching to Mission is currently not available
2,Preflight: GPS Horizontal Pos Error too high
1,logger started (mode=all)
1,[logger] /fs/microsd/log/sess100/log100.ulg
2,Connection to mission computer lost
1,[logger] /fs/microsd/log/2025-08-06/14_14_12.ulg
3,Low battery
2,Preflight Fail: Attitude failure (roll)
3,bmi088: no instance started (no device on bus?)
1,"mode: Gimbal, data rate: 5760 B/s on /dev/ttyS4 @ 115200B"
3,Parameter MAV_2_BROADCAST not found.
1,Takeoff to 3.0 meters above home
1,FlightTaskAuto.cpp L358
3,Valid SENS_TEMP_ID required
1,Opened full log file: /fs/microsd/log/2025-08-08/17_48_57.ulg
3,"can't start sbus, it's running"
1,"closed logfile, bytes written: 1365802"
1,负载 关
1,Opened full log file: /fs/microsd/log/2025-08-08/04_01_32.ulg
1,"mg nb : 0xaa77, len : 0x41267, nb_sections : 0x2"
1,Mixer: /etc/mixers/pass.aux.mix appended to /dev/pwm_output0
3,"vehicle_command_ack lost, generation 3532 -> 3550"
3,couldn't start parameter count: -2
1,u-blox firmware version: HPG 1.13
1,[logger] /fs/microsd/log/2025-08-08/10_04_45.ulg
3,parameter export to /fs/microsd/params failed (-1) attempt 3
1,IO FW CRC match
1,IO FW CRC match
1,FlightTaskAuto.cpp L358
3,Battery 2: over voltage.
3,Battery 2: over voltage.
2,"First waypoint too far away: 55915 meters, 5000 max."
1,"successfully created rt/fmu/out/vehicle_local_position data writer, topic id: 256"
1,[logger] /fs/microsd/log/2025-08-06/07_20_45.ulg
1,channel 1 got 14 bytes
1,Landing detected
2,Preflight Fail: Yaw estimate error
1,[cal] progress <100>
3,bmi088: no instance started (no device on bus?)
3,unknown param: SYSID_CK
1,synchronized with time offset 1754527941507334us
1,i2c2_thread : 72 free
1,data manager file '/fs/microsd/dataman' size is 62560 bytes
2,"Too many subscriptions, failed to add: vehicle_trajectory_waypoint 0"
1,"Path data96 req: 0, 321, 0, 1, 84"
2,Preflight Fail: Strong magnetic interference
1,Uncompressing PATH /fs/microsd/MY.PATH
1,"closed logfile, bytes written: 3336143"
1,Start file log (type: full)
2,Preflight Fail: velocity estimate error
1,Opened full log file: /fs/microsd/log/2025-07-31/11_59_48.ulg
1,执行 FwAutotuneAttitudeControl::init() 程序
1,"closed logfile, bytes written: 206507"
2,invalid setpoints
1,"successfully created rt/fmu/out/vehicle_status data writer, topic id: 266"
2,RTT too high for timesync: 21 ms
2,ist8310: no instance started (no device on bus?)
2,Preflight: GPS Horizontal Pos Drift too high
2,Preflight Fail: height estimate not stable
1,Start file log (type: full)
2,Preflight: GPS Horizontal Pos Drift too high
1,"Node ID 1, bitrate 1000000"
1,[cal] Connect battery now
1,[logger] /fs/microsd/log/2025-08-06/09_16_03.ulg
2,Preflight Fail: Kill switch engaged
3,get: param 65535 invalid
2,Preflight Fail: Kill switch engaged
1,Disarmed by landing
2,Arm stick gesture disabled if arm switch in use
2,Preflight Fail: heading estimate not stable
1,ACC 1 (2490378) offset committed: [-0.000 0.050 -0.016]->[-0.225 0.177 -0.011])
3,get: param 65535 invalid
3,"vehicle_command_ack lost, generation 16151 -> 16153"
1,当前油门关闭
1,exceptions : 120 free
3,node spin error -8
2,Arming denied: throttle above center
2,Preflight Fail: Kill switch engaged
1,"0 (466953) EST:2 offset: [-0.243, 0.048, 0.022]->[-0.235, 0.046, 0.022] (full [-0.190, 0.033, 0.0"
3,get: param 65535 invalid
1,"Failed to init INA228 on bus 1, but will try again periodically."
1,logging 12 topics from logger_topics.txt
2,Preflight Fail: heading estimate not stable
3,couldn't start parameter count: -2
3,parameter export to /fs/mtd_params failed (-1) attempt 3
1,"Found address 0x45, running 'ina228 -X -b 1 -t 1 start'"
1,logger started (mode=all)
1,Starting CDC/ACM autostart
1,"gyro 0 (3932170) updating calibration, [-0.0051, 0.0224, 0.0051] -> [-0.0033, 0.0101, 0.0040] 35.3°C"
1,qq_ver3=3
3,Network could not be saved!
3,couldn't start parameter count: -2
3,"vehicle_command_ack lost, generation 2 -> 6"
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS0 @ 57600B"
3,get: param 65535 invalid
1,initialised
2,AK09916 mag init failed
1,Opened full log file: /fs/microsd/log/2025-08-07/09_00_37.ulg
3,param auto save failed (-1)
1,Start file log (type: full)
1,Opened full log file: /fs/microsd/log/2025-08-08/02_58_40.ulg
1,data manager file '/fs/microsd/dataman' size is 62560 bytes
3,verify: invalid parameter 'SDLOG_PR'
1,"Node ID 1, bitrate 1000000"
1,"successfully created rt/fmu/out/vehicle_control_mode data writer, topic id: 260"
1,[logger] /fs/microsd/log/2025-08-06/23_18_12.ulg
2,Using non-standard baudrate: 420000
1,u-blox protocol version: 34.10
2,Preflight: GPS Horizontal Pos Drift too high
3,"init failed, vehicle_attitude already advertised"
2,Preflight Fail: Flight termination active
1,selected parameter default file /fs/mtd_params
1,"0 (527633) EST:1 offset: [-0.076, 0.031, 0.441]->[-0.115, 0.017, 0.438] (full [-0.235, -0.080, 0."
2,Disarming denied: not landed
3,parameter export to /fs/mtd_params failed (1) attempt 1
2,time sync no longer converged
1,Opened full log file: /fs/microsd/log/2025-08-01/05_36_42.ulg
3,importing failed (-1)
1,"starting EV velocity fusion, resetting velocity to (0.000, -0.000, -0.003)"
1,channel 1 got 14 bytes
2,Preflight Fail: velocity estimate error
3,"action_request lost, generation 12 -> 14"
1,"mode: Minimal, data rate: 2880 B/s on /dev/ttyS4 @ 57600B"
1,Time adjust by 779300403 ms
1,"Path loaded: 429 points, load time: 396 ms"
2,Preflight Fail: velocity estimate error
1,Onboard controller regained
2,Already running on bus 1
2,Preflight Fail: Kill switch engaged
2,Mission rejected: the landing glide slope is steeper than the vehicle setting of 5.0 degre
3,"vehicle_command_ack lost, generation 754 -> 756"
1,"mg nb : 0xaa66, len : 0x40207, nb_sections : 0x2"
1,ACC 1 (2490402) offset committed: [-0.063 -0.089 -0.092]->[-0.043 -0.165 -0.089])
1,Uncompressing PATH /fs/microsd/MY.PATH
1,Start file log (type: full)
1,Kill engaged
1,u-blox protocol version: 27.50
3,open '/fs/mtd_caldata' failed (2)
1,[logger] /fs/microsd/log/2025-08-07/13_43_36.ulg
1,Armed by RC
3,"Matching flight task was not able to run, Nav state: 1, Task: 1"
2,Critical battery
2,Preflight: GPS Horizontal Pos Error too high
1,Starting mavlink on /dev/ttyACM0 (SYS_USB_AUTO=2)
3,Failed to get client ID!
1,Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0
2,Disarming denied: not landed
1,"closed logfile, bytes written: 2147065"
2,teraranger: no instance started (no device on bus?)
1,"closed logfile, bytes written: 3194936"
2,Preflight: GPS Hor Speed Drift too high
2,Preflight: Strong magnetic interference detected
2,no broadcasting address found
2,no broadcasting address found
1,RC scan: SBUS RC input locked
1,Hello from Hazem! The commander is running.
1,"Detected parameter update, reloading..."
1,Opened full log file: /fs/microsd/log/2021-02-19/00_03_31.ulg
2,Preflight Fail: Yaw estimate error
2,Preflight: GPS Vertical Pos Drift too high
1,"successfully created rt/fmu/out/vehicle_global_position data writer, topic id: 213"
1,u-blox protocol version: 27.12
2,Failsafe: stop and wait
1,"mode: Config, data rate: 800000 B/s on /dev/ttyACM0 @ 57600B"
1,logger started (mode=all)
1,u-blox firmware version: HPG 1.13
3,GetSet error
2,Switching to Offboard is currently not available
1,Selected Rover (CAN ID 124) not available or initialized. Not initializing GPS with ID 125
1,selected parameter default file /fs/mtd_params
1,Preflight Fail: No manual control input
2,Arming denied! Flying with USB is not safe
3,failed to initialize mtd driver
1,"successfully created rt/fmu/out/timesync_status data writer, topic id: 191"
1,[logger] /fs/microsd/log/2025-08-08/19_55_33.ulg
1,"mode: Normal, data rate: 100000 B/s on udp port 14550 remote port 14550"
1,Landing detected
3,unknown param ID: 1011
3,Parameter MAV_2_REMOTE_PRT not found.
1,"instance: 0, max rate: 800, default: 50, alt: 400"
1,Disarmed by RC (switch)
1,INFO: Send byte: 170
2,Preflight Fail: Strong magnetic interference
1,[cal] progress <40>
2,Preflight Fail: Yaw estimate error
3,/dev/ttyS0 write error -1
1,EKF commencing GPS fusion
1,logger started (mode=all)
1,1 - selected distance_sensor:0 (2 advertised)
1,"[cal] 检测到1个传感器, 当前校准第1个"
3,no ADC found: /dev/adc0 (2)
1,[logger] /fs/microsd/log/2025-08-09/03_21_56.ulg
2,Preflight Fail: Kill switch engaged
1,reset velocity to zero
1,Armed by RC
2,GNSS Fix2 msg detected for ch 1; disabling Fix msg for this node
1,icao_address added. Buffer Size: 1
3,Node init failed: -13
2,Disarming denied! Not landed
2,Preflight Fail: Strong magnetic interference
2,navigator low on stack! (268 bytes left)
1,u-blox firmware version: HPG 1.32
1,logger started (mode=all)
1,"successfully created rt/fmu/out/timesync_status data writer, topic id: 191"
1,[cal] progress <85>
1,"BSON document size 2890 bytes, decoded 2890 bytes"
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B"
1,"0 (527633) EST:1 offset: [-0.019, -0.163, 0.279]->[0.018, -0.161, 0.279] (full [0.199, 0.033, 0.3"
1,read path chunk: type 2  offset 0  time 2 ms /fs/microsd/MY.PATH
3,get scale failed
1,selected parameter backup file /fs/microsd/parameters_backup.bson
1,"0 (466977) EST:1 offset: [0.027, 0.011, -0.066]->[0.031, 0.007, -0.065] (full [0.237, -0.150, -0."
1,Opened full log file: /fs/microsd/log/2025-08-06/14_05_48.ulg
1,"mode: Normal, data rate: 100000 B/s on udp port 14550 remote port 14550 target ip: 0.0.0.0"
2,Preflight Fail: height estimate not stable
2,Preflight Fail: Attitude failure (roll)
1,sending FrSky SmartPort telemetry
3,failed to initialize mtd driver
3,unknown param ID: 902
2,ist8310: no instance started (no device on bus?)
1,"force: [0.000000, 0.000000, -2.734924], torque: [-0.128938, 0.005093, 0.002181]"
1,"roll = 0.0040, pitch = -0.0089, yaw = -0.2837"
3,unknown param ID: 610
1,"successfully created rt/fmu/out/vehicle_attitude data writer, topic id: 242"
2,Preflight: GPS Vertical Pos Drift too high
1,Start file log (type: full)
1,Armed by RC
1,"all way points has been received, wp num is: 29"
1,Armed by RC (switch)
1,RC scan: SBUS RC input locked
1,"1 (8944643) EST:1 offset: [0.015, 0.153, -0.014]->[0.016, 0.147, -0.013] (full [0.050, -0.142, 0."
1,开始卫星定向航向融合
3,bmp581: no instance started (no device on bus?)
1,Armed by RC (switch)
3,[timesync] Time jump detected. Resetting time synchroniser.
1,Preflight check
2,Preflight Fail: Yaw estimate error
2,Preflight Fail: Kill switch engaged
3,Product_ID: 0
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 57600B"
1,Calibration: Disabling RC input
2,Preflight Fail: Kill switch engaged
1,"BSON document size 2854 bytes, decoded 2854 bytes (INT32:62, FLOAT:75)"
3,get: param 65535 invalid
1,"MESSAGE DATA96 with data: chunk_id=0, size=84"
3,SET_MESSAGE_INTERVAL requested param3 not supported.
3,get: param 65535 invalid
1,Setting channel 5 maximum to 1900
2,Preflight Fail: Global position required
1,Safeland activated
1,RC scan: SBUS RC input locked
2,Preflight: GPS Speed Accuracy too low
3,verify: failed (-1)
2,Preflight: GPS fix too low
1,Pilot took over control using sticks
1,hdrift:    OK
1,Armed by Stick gesture
2,Preflight Fail: Kill switch engaged
1,Takeoff detected
2,"Low battery level, return advised"
1,[logger] /fs/microsd/log/2025-08-06/14_26_37.ulg
1,"mode: Onboard, data rate: 92160 B/s on /dev/ttyS3 @ 921600B"
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B"
2,PREFLIGHT FAIL: System global position not valid
2,time sync no longer converged
1,Using default takeoff altitude: 1.5 m
3,failed setting PWM rate on IO
1,Armed by RC switch
1,i2c2_thread : 72 free
3,CentralizedServer init: -13
1,start
1,"MESSAGE DATA96 with data: chunk_id=3, size=69"
1,Armed by RC (switch)
1,initialised
3,get: param 65535 invalid
3,Preflight Fail: low battery
2,Preflight: GPS Vertical Pos Drift too high
1,Updating SENS_BOARD_Y_OFF 1.3 -> -0.1 degrees
1,Opened full log file: /fs/microsd/log/sess200/log100.ulg
1,No temperature calibration available for gyro 1 (device id 6684698)
1,Firmware revision 10 is up to date
