prev_log,curr_log,next_log,label
Emergency battery level,Emergency battery level,Emergency battery level,1
Setting channel 2 maximum to 1900,Setting channel 3 disarmed to 1500,Setting channel 4 disarmed to 1500,0
GCS connection regained,exiting channel 2,Connection to ground station lost,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-10/08_35_08.ulg,Opened full log file: /fs/microsd/log/2025-08-10/08_35_08.ulg,0
importing from '/fs/mtd_params',"BSON document size 2491 bytes, decoded 2491 bytes (INT32:43, FLOAT:77)",selected parameter backup file /fs/microsd/parameters_backup.bson,0
data manager file '/fs/microsd/dataman' size is 68528 bytes,PX4IO Not Supported,Already running on bus 1,0
Opened full log file: /fs/microsd/log/2025-08-09/15_26_03.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
"instance: 0, max rate: 100, default: 50, alt: 50","mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B","mode: Onboard, data rate: 46080 B/s on /dev/ttyS1 @ 921600B",0
[logger] /fs/microsd/log/2025-08-10/07_37_47.ulg,Takeoff to 3.0 meters above home,Opened full log file: /fs/microsd/log/2025-08-10/07_37_47.ulg,0
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 2938 bytes, decoded 2938 bytes (INT32:63, FLOAT:78)",0
Parameter MAV_2_UDP_PRT not found.,data manager file '/fs/microsd/dataman' size is 62560 bytes,IO FW CRC match,0
IO FW CRC match,ist8310: no instance started (no device on bus?),"instance: 0, max rate: 100, default: 50, alt: 50",0
Opened full log file: /fs/microsd/log/2025-08-10/07_44_34.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
Disarmed by RC (switch),"closed logfile, bytes written: 251811",Preflight: GPS Horizontal Pos Error too high,0
Failsafe mode activated,u-blox firmware version: HPG 1.32,u-blox protocol version: 27.31,0
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
ACC 0 (2818058) offset committed: [0.129 0.074 0.036]->[0.103 -0.007 0.042]),"0 (396825) EST:0 offset: [0.227, 0.047, -0.226]->[0.205, 0.048, -0.226] (full [0.054, 0.058, -0.2","0 (396825) EST:1 offset: [0.205, 0.048, -0.226]->[0.189, 0.048, -0.226] (full [0.064, 0.059, -0.2",0
data manager file '/fs/microsd/dataman' size is 62560 bytes,"mode: Normal, data rate: 1200 B/s on /dev/ttyS0 @ 57600B",logger started (mode=all),0
data manager file '/fs/microsd/dataman' size is 68528 bytes,"no gyro selected, using sensor_gyro_fifo:0 6684690",Using non-standard baudrate: 420000,0
Opened full log file: /fs/microsd/log/sess100/log100.ulg,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
"vehicle_command_ack lost, generation 1810 -> 1812",SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
Opened full log file: /fs/microsd/log/sess100/log100.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
data manager file '/fs/microsd/dataman' size is 62560 bytes,IO FW CRC match,ist8310: no instance started (no device on bus?),0
Failsafe mode deactivated,Armed by RC (switch),Start file log (type: full),0
"roll = -0.0229, pitch = -0.0220, yaw = -0.0072","roll = -0.0230, pitch = -0.0220, yaw = -0.0072","roll = -0.0230, pitch = -0.0220, yaw = -0.0072",0
"roll = -0.0230, pitch = -0.0220, yaw = -0.0072","roll = -0.0230, pitch = -0.0220, yaw = -0.0072","roll = -0.0230, pitch = -0.0220, yaw = -0.0072",0
RTT too high for timesync: 2267 ms,Arming denied: high throttle,Arming denied: high throttle,0
Arming denied: high throttle,Arming denied: high throttle,Armed by external command,0
"closed logfile, bytes written: 635941",Arming denied: Resolve system health failures first,Armed by external command,0
u-blox module: NEO-M8N-0,Armed by RC (switch),Start file log (type: full),0
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,Preflight Fail: heading estimate not stable,0
Disarmed by kill-switch,Preflight Fail: Flight termination active,ACC 1 (3604498) offset committed: [-0.113 -0.295 -0.084]->[-0.062 -0.188 -0.126]),0
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,Preflight Fail: heading estimate not stable,0
"instance: 0, max rate: 100, default: 50, alt: 50",offboard mission init failed (-1),"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B",0
[timesync] RTT too high for timesync: 39 ms (sender: 240),Switching to Position is currently not available,Failsafe mode activated,0
Parameter MAV_2_REMOTE_PRT not found.,Parameter MAV_2_UDP_PRT not found.,data manager file '/fs/microsd/dataman' size is 62560 bytes,1
Mixer: /etc/mixers/pass.aux.mix on /dev/pwm_output1,PWM_SERVO_SET_UPDATE_RATE (check rate for sanity),"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 115200B",1
[timesync] RTT too high for timesync: 15 ms (sender: 240),[timesync] RTT too high for timesync: 16 ms (sender: 240),[timesync] RTT too high for timesync: 17 ms (sender: 240),0
[timesync] RTT too high for timesync: 15 ms (sender: 240),[timesync] RTT too high for timesync: 16 ms (sender: 240),[timesync] RTT too high for timesync: 15 ms (sender: 240),0
Mixer: /etc/mixers/pass.aux.mix on /dev/pwm_output1,PWM_SERVO_SET_UPDATE_RATE (check rate for sanity),"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 115200B",1
"roll = -0.0229, pitch = -0.0220, yaw = -0.0072",Opened full log file: /fs/microsd/log/2025-06-07/09_16_50.ulg,"roll = -0.0229, pitch = -0.0220, yaw = -0.0072",0
Preflight: GPS Horizontal Pos Drift too high,Armed by RC (switch),Start file log (type: full),0
Opened full log file: /fs/microsd/log/2025-08-10/07_16_15.ulg,selected parameter backup file /fs/microsd/parameters_backup.bson,Parameter RC_INPUT_PROTO not found.,0
Preflight Fail: Kill switch engaged,Preflight: GPS Horizontal Pos Drift too high,Preflight Fail: Kill switch engaged,0
importing from '/fs/mtd_params',"BSON document size 2084 bytes, decoded 2084 bytes (INT32:49, FLOAT:52)",selected parameter backup file /fs/microsd/parameters_backup.bson,0
partner IP: 10.41.10.1,Preflight: GPS Speed Accuracy too low,Preflight Fail: Kill switch engaged,0
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
u-blox firmware version: SPG 4.04,u-blox protocol version: 32.01,u-blox module: NEO-M9N,0
data manager file '/fs/microsd/dataman' size is 68528 bytes,Already running on bus 1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B",0
Start file log (type: full),[logger] /fs/microsd/log/sess100/log100.ulg,Opened full log file: /fs/microsd/log/sess100/log100.ulg,0
Opened full log file: /fs/microsd/log/sess100/log100.ulg,DECODED_SIZE:5 SAVED_SIZE:-1,selected parameter default file /fs/mtd_params,0
Opened full log file: /fs/microsd/log/2025-08-10/07_11_54.ulg,selected parameter backup file /fs/microsd/parameters_backup.bson,Parameter RC_INPUT_PROTO not found.,0
Preflight: GPS Horizontal Pos Error too high,Preflight Fail: Kill switch engaged,Preflight: GPS Horizontal Pos Error too high,0
Preflight Fail: No CPU load information,Preflight Fail: height estimate not stable,Preflight Fail: height estimate error,0
Armed by RC (switch),Start file log (type: full),[logger] /fs/microsd/log/sess100/log100.ulg,0
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
SET_MESSAGE_INTERVAL requested param3 not supported.,"vehicle_command_ack lost, generation 513 -> 515",SET_MESSAGE_INTERVAL requested param3 not supported.,1
"roll = -0.0232, pitch = -0.0173, yaw = -0.0569","roll = -0.0232, pitch = -0.0174, yaw = -0.0569","roll = -0.0233, pitch = -0.0174, yaw = -0.0569",0
"roll = -0.0234, pitch = -0.0176, yaw = -0.0570","roll = -0.0234, pitch = -0.0177, yaw = -0.0570","roll = -0.0234, pitch = -0.0177, yaw = -0.0570",0
Disarmed by landing,"roll = -0.0236, pitch = -0.0178, yaw = -0.0570",vehicle disarmed due to 7,0
Armed by RC (switch),vehicle armed due to 2,Start file log (type: full),0
"roll = 0.0037, pitch = -0.0093, yaw = -0.2836","roll = 0.0036, pitch = -0.0093, yaw = -0.2836",Disarmed by landing,0
"roll = 0.0038, pitch = -0.0091, yaw = -0.2836","roll = 0.0038, pitch = -0.0091, yaw = -0.2837","roll = 0.0038, pitch = -0.0091, yaw = -0.2837",0
"roll = 0.0040, pitch = -0.0089, yaw = -0.2837","roll = 0.0040, pitch = -0.0089, yaw = -0.2837","roll = 0.0039, pitch = -0.0090, yaw = -0.2837",0
"roll = 0.0038, pitch = -0.0090, yaw = -0.2837","roll = 0.0038, pitch = -0.0090, yaw = -0.2837","roll = 0.0037, pitch = -0.0091, yaw = -0.2837",0
"roll = 0.0037, pitch = -0.0092, yaw = -0.2836","roll = 0.0036, pitch = -0.0092, yaw = -0.2836","roll = 0.0037, pitch = -0.0093, yaw = -0.2836",0
Connection to ground station lost,Failsafe mode activated,Connection to mission computer lost,0
"roll = 0.0038, pitch = -0.0091, yaw = -0.2837","roll = 0.0038, pitch = -0.0091, yaw = -0.2837","roll = 0.0037, pitch = -0.0092, yaw = -0.2836",0
"roll = -0.0006, pitch = -0.0056, yaw = 0.0019","roll = -0.0006, pitch = -0.0056, yaw = 0.0019","roll = -0.0006, pitch = -0.0055, yaw = 0.0019",0
mavlink for device /dev/ttyACM0 is not running,logger started (mode=all),"Node ID 1, bitrate 1000000",0
"mode: Onboard, data rate: 80000 B/s on /dev/ttyS4 @ 115200B","mode: Normal, data rate: 9600 B/s on /dev/ttyS7 @ 115200B",Starting CDC/ACM autostart,0
u-blox protocol version: 18.00,Preflight: GPS Horizontal Pos Error too high,Preflight: GPS Horizontal Pos Error too high,0
Takeoff detected,Landing detected,Disarmed by RC (switch),0
"closed logfile, bytes written: 1636375",Armed by RC (switch),Start file log (type: full),0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-02/11_12_33.ulg,Opened full log file: /fs/microsd/log/2025-08-02/11_12_33.ulg,0
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,Kill disengaged,0
RTT too high for timesync: 50 ms,RTT too high for timesync: 33 ms,RTT too high for timesync: 37 ms,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-02/11_12_55.ulg,Opened full log file: /fs/microsd/log/2025-08-02/11_12_55.ulg,0
Kill engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
Disarmed by landing,Low battery level,"closed logfile, bytes written: 15782106",1
Low battery level,Preflight Fail: heading estimate not stable,Preflight Fail: Yaw estimate error,0
Opened full log file: /fs/microsd/log/2025-08-05/10_10_59.ulg,"[cal] detected rest position, hold still...",Preflight Fail: Attitude failure (pitch),0
Preflight Fail: Attitude failure (pitch),"[cal] detected motion, hold still...",Preflight Fail: Attitude failure (pitch),0
Opened full log file: /fs/microsd/log/2025-07-30/09_33_10.ulg,Not enough bandwidth to enable log streaming,Takeoff detected,0
Disarmed by RC (switch),Armed by RC (switch),Start file log (type: full),0
Takeoff detected,Landing detected,Disarmed by landing,0
Preflight Fail: height estimate not stable,Mission rejected: Mission contains VTOL items but vehicle is not a VTOL,Connection to ground station lost,0
"closed logfile, bytes written: 1684011",Preflight: GPS Speed Accuracy too low,Preflight: GPS Speed Accuracy too low,0
Preflight: GPS Speed Accuracy too low,Preflight: GPS Horizontal Pos Drift too high,Preflight: GPS Speed Accuracy too low,0
Preflight: GPS Speed Accuracy too low,Armed by RC (switch),Start file log (type: full),0
Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0,setting PWM_AUX_OUT none,"mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 57600B",0
"BSON document size 2449 bytes, decoded 2449 bytes (INT32:42, FLOAT:76)",selected parameter backup file /fs/microsd/parameters_backup.bson,Parameter MAV_2_BROADCAST not found.,0
"instance: 0, max rate: 100, default: 50, alt: 50",Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0,Mixer: /etc/mixers/pass.aux.mix on /dev/pwm_output1,0
Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0,Mixer: /etc/mixers/pass.aux.mix on /dev/pwm_output1,"instance: 0, max rate: 100, default: 50, alt: 50",0
u-blox firmware version: HPG 1.32,u-blox protocol version: 27.31,u-blox module: ZED-F9P,0
Kill-switch disengaged,Kill-switch engaged,Kill-switch disengaged,0
Start file log (type: full),Executing Mission,[logger] /fs/microsd/log/2025-08-10/05_24_19.ulg,0
Takeoff to 3.0 meters above home,Takeoff detected,RTL HOME activated,0
RTL HOME activated,RTL: landing at home position.,RTL: climb to 64 m (30 m above destination),0
RTL: landing at home position.,RTL: climb to 64 m (30 m above destination),Landing detected,0
mission check failed,"closed logfile, bytes written: 3371349",Kill-switch disengaged,0
"instance: 0, max rate: 100, default: 50, alt: 50","mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B","mode: Onboard, data rate: 46080 B/s on /dev/ttyS1 @ 921600B",0
Switching to Position is currently not available,Failsafe mode activated,Kill-switch engaged,0
"BSON document size 3642 bytes, decoded 3642 bytes (INT32:78, FLOAT:93)",selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 68528 bytes,0
Already running on bus 1,"no gyro selected, using sensor_gyro_fifo:0 3407898",Using non-standard baudrate: 420000,0
Failsafe mode activated,u-blox firmware version: HPG 1.32,u-blox protocol version: 27.31,0
Failure: Kill switch engaged,Kill-switch disengaged,Armed by RC (switch),0
Landing detected,Disarmed by RC (switch),GYRO 0 (4325386) offset committed: [-0.005 -0.001 -0.012]->[-0.005 -0.001 -0.001]),0
"instance: 0, max rate: 100, default: 50, alt: 50",Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0,Mixer: /etc/mixers/pass.aux.mix on /dev/pwm_output1,0
"Failed to init INA238 on bus 1, but will try again periodically.","Failed to init INA238 on bus 2, but will try again periodically.",ms5611: no instance started (no device on bus?),0
"Failed to init INA238 on bus 1, but will try again periodically.","Failed to init INA238 on bus 2, but will try again periodically.",ms5611: no instance started (no device on bus?),0
Starting CDC/ACM autostart,logger started (mode=all),"Node ID 1, bitrate 1000000",0
importing from '/fs/mtd_params',"BSON document size 3625 bytes, decoded 3625 bytes (INT32:77, FLOAT:93)",selected parameter backup file /fs/microsd/parameters_backup.bson,0
Preflight: GPS Speed Accuracy too low,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,partner IP: 10.41.10.1,0
"Failed to init INA238 on bus 2, but will try again periodically.",ms5611: no instance started (no device on bus?),Already running on bus 1,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
partner IP: 10.41.10.1,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
ms5611: no instance started (no device on bus?),Already running on bus 1,"no gyro selected, using sensor_gyro_fifo:0 3407898",0
Preflight Fail: Kill switch engaged,Preflight Fail: position estimate error,Preflight Fail: Kill switch engaged,0
Preflight Fail: Yaw estimate error,Preflight Fail: Kill switch engaged,Onboard controller regained,0
Preflight Fail: Yaw estimate error,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
"Found address 0x45, running 'ina228 -X -b 1 -t 1 start'",Started 0x45 successfully,ms5611: no instance started (no device on bus?),0
logger started (mode=all),"Node ID 1, bitrate 1000000",Preflight Fail: Kill switch engaged,0
Preflight Fail: height estimate not stable,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
Preflight: GPS Speed Accuracy too low,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
Preflight Fail: Kill switch engaged,Preflight: GPS Speed Accuracy too low,Preflight Fail: Kill switch engaged,0
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,"vehicle_command_ack lost, generation 705 -> 707",1
SET_MESSAGE_INTERVAL requested param3 not supported.,"vehicle_command_ack lost, generation 705 -> 707",SET_MESSAGE_INTERVAL requested param3 not supported.,1
SET_MESSAGE_INTERVAL requested param3 not supported.,"vehicle_command_ack lost, generation 740 -> 742",SET_MESSAGE_INTERVAL requested param3 not supported.,1
Mixer: /etc/mixers/nuaa_quad_tiltrotor.aux.mix on /dev/pwm_output1,"instance: 0, max rate: 100, default: 50, alt: 50","mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 57600B",0
Opened full log file: /fs/microsd/log/2025-08-09/03_41_13.ulg,selected parameter default file /fs/microsd/params,importing from '/fs/microsd/params',0
ist8310: no instance started (no device on bus?),status: 0 status: 0,status: 0 status: 0,1
u-blox firmware version: SPG 4.04,u-blox protocol version: 32.01,Preflight Fail: Kill switch engaged,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Strong magnetic interference,0
Preflight Fail: Strong magnetic interference,Preflight Fail: Yaw estimate error,Preflight Fail: Kill switch engaged,0
Mixer: /etc/mixers/nuaa_quad_tiltrotor.aux.mix on /dev/pwm_output1,"instance: 0, max rate: 100, default: 50, alt: 50","mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 57600B",0
"mode: Normal, data rate: 1200 B/s on /dev/ttyS3 @ 57600B",logger started (mode=all),RC scan: SBUS RC input locked,0
u-blox protocol version: 27.12,u-blox module: ZED-F9P,Armed by RC (switch),0
Connection to ground station lost,GCS connection regained,Connection to ground station lost,0
setting PWM_AUX_OUT none,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 921600B",logger started (mode=all),0
Opened full log file: /fs/microsd/log/2025-08-08/08_23_26.ulg,Takeoff detected,Landing detected,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-08/08_26_11.ulg,Opened full log file: /fs/microsd/log/2025-08-08/08_26_11.ulg,0
Battery 1 disconnected. Land now!,"Critical battery level, return now",Disarmed by RC,0
importing from '/fs/mtd_params',"BSON document size 2331 bytes, decoded 2331 bytes (INT32:47, FLOAT:66)",selected parameter backup file /fs/microsd/parameters_backup.bson,0
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 3625 bytes, decoded 3625 bytes (INT32:77, FLOAT:93)",0
"Failed to init INA226 on bus 2, but will try again periodically.","Failed to init INA228 on bus 1, but will try again periodically.","Failed to init INA238 on bus 1, but will try again periodically.",0
"Node ID 1, bitrate 1000000",Armed by RC switch,Start file log (type: full),0
logger started (mode=all),RC scan: SBUS RC input locked,u-blox firmware version: SPG 4.04,0
u-blox protocol version: 32.01,u-blox module: NEO-M9N,Preflight Fail: Kill switch engaged,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,Preflight: GPS Horizontal Pos Error too high,0
Armed by RC,Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/09_29_15.ulg,0
Preflight Fail: Kill switch engaged,Preflight Fail: Yaw estimate error,Preflight Fail: Kill switch engaged,0
Preflight Fail: Yaw estimate error,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
verify: failed (-1),RC scan: SBUS RC input locked,Armed by RC switch,0
"closed logfile, bytes written: 356029",Armed by RC switch,Start file log (type: full),0
[logger] /fs/microsd/log/2025-08-10/01_51_39.ulg,Opened full log file: /fs/microsd/log/2025-08-10/01_51_39.ulg,selected parameter default file /fs/mtd_params,0
"Failed to init INA226 on bus 1, but will try again periodically.","Failed to init INA226 on bus 2, but will try again periodically.","Failed to init INA228 on bus 1, but will try again periodically.",0
"Failed to init INA238 on bus 2, but will try again periodically.",ms5611: no instance started (no device on bus?),Already running on bus 1,0
u-blox module: NEO-M9N,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
Ignore command 512 from 255/190 to 33/1,Ignore command 512 from 255/190 to 33/1,Ignore command 512 from 255/190 to 33/1,0
Ignore command 512 from 255/190 to 33/1,Ignore command 512 from 255/190 to 33/1,Ignore command 512 from 255/190 to 33/1,0
Ignore command 512 from 255/190 to 33/1,Ignore command 512 from 255/190 to 33/1,Ignore command 512 from 255/190 to 33/1,0
Ignore command 512 from 255/190 to 33/1,Ignore command 512 from 255/190 to 33/1,Ignore command 512 from 255/190 to 33/1,0
Ignore command 512 from 255/190 to 33/1,Ignore command 512 from 255/190 to 33/1,Armed by external command,0
Preflight: GPS Horizontal Pos Drift too high,Preflight: GPS Horizontal Pos Drift too high,Armed by Stick gesture,0
Preflight: GPS Horizontal Pos Drift too high,Armed by Stick gesture,Start file log (type: full),0
logger started (mode=all),"Node ID 1, bitrate 1000000",u-blox protocol version: 32.01,0
Opened full log file: /fs/microsd/log/2025-08-09/23_08_29.ulg,Failsafe activated,Disarmed by Stick gesture,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-09/17_14_56.ulg,Opened full log file: /fs/microsd/log/2025-08-09/17_14_56.ulg,0
[logger] /fs/microsd/log/2025-08-09/17_10_16.ulg,Opened full log file: /fs/microsd/log/2025-08-09/17_10_16.ulg,Disarmed by RC,0
Opened full log file: /fs/microsd/log/2025-08-09/17_12_57.ulg,Disarmed by RC,ACC 1 (2490402) offset committed: [-0.048 -0.114 -0.091]->[-0.069 -0.200 -0.089]),0
ACC 1 (2490402) offset committed: [-0.069 -0.200 -0.089]->[-0.063 -0.089 -0.092]),"closed logfile, bytes written: 1231347",Armed by RC,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-09/17_14_56.ulg,Opened full log file: /fs/microsd/log/2025-08-09/17_14_56.ulg,0
Opened full log file: /fs/microsd/log/2025-08-09/17_15_25.ulg,Disarmed by RC,ACC 1 (2490402) offset committed: [-0.063 -0.089 -0.092]->[-0.043 -0.165 -0.089]),0
Preflight: GPS Horizontal Pos Drift too high,Preflight: GPS Vertical Pos Drift too high,Preflight: GPS Horizontal Pos Drift too high,0
Preflight: GPS Vertical Pos Drift too high,Preflight Fail: height estimate not stable,Preflight Fail: position estimate error,0
Preflight Fail: position estimate error,Preflight Fail: height estimate not stable,Preflight: GPS Vertical Pos Drift too high,0
u-blox protocol version: 18.00,u-blox module: NEO-M8N-0,Preflight: GPS Horizontal Pos Error too high,0
Preflight: GPS Horizontal Pos Error too high,Preflight: GPS Horizontal Pos Error too high,Preflight: GPS Horizontal Pos Drift too high,0
Opened full log file: /fs/microsd/log/2025-08-09/17_45_12.ulg,MAG #0 failed:  TIMEOUT!,Disarmed by RC,1
Starting CDC/ACM autostart,logger started (mode=all),u-blox protocol version: 18.00,0
Disarmed by RC,"closed logfile, bytes written: 1787724",Armed by RC,0
"closed logfile, bytes written: 1230894",Armed by RC,Start file log (type: full),0
Disarmed by RC,"closed logfile, bytes written: 362053",Armed by RC,0
[logger] /fs/microsd/log/2025-08-09/17_09_24.ulg,Opened full log file: /fs/microsd/log/2025-08-09/17_09_24.ulg,Disarmed by RC,0
"closed logfile, bytes written: 362053",Armed by RC,Start file log (type: full),0
Opened full log file: /fs/microsd/log/2025-08-09/17_08_36.ulg,Disarmed by RC,"closed logfile, bytes written: 1787724",0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-09/17_12_57.ulg,Opened full log file: /fs/microsd/log/2025-08-09/17_12_57.ulg,0
Disarmed by RC,"closed logfile, bytes written: 1478741",Armed by RC,0
"closed logfile, bytes written: 1478741",Armed by RC,Start file log (type: full),0
